Time,Open,High,Low,Last,Change,%Chg,Volume
"01/29/2021 17:00",6607.4,6607.4,6607.4,6607.4,0,0.00%,0
"01/29/2021 16:00",6614.9,6615,6607.4,6607.4,-9.7,-0.15%,0
"01/29/2021 15:00",6614.3,6621.1,6585.3,6617.1,0.7,+0.01%,0
"01/29/2021 14:00",6669.6,6670.8,6616.4,6616.4,-53,-0.79%,0
"01/29/2021 13:00",6683.1,6686.3,6668.2,6669.4,-15.2,-0.23%,0
"01/29/2021 12:00",6687.9,6705.4,6684.4,6684.6,-4.7,-0.07%,0
"01/29/2021 11:00",6708.1,6711.8,6689.2,6689.3,-18.3,-0.27%,0
"01/29/2021 10:00",6649.7,6730.2,6649.7,6707.6,57.9,+0.87%,0
"01/28/2021 17:00",6649.7,6649.7,6649.7,6649.7,0,0.00%,0
"01/28/2021 16:00",6646.6,6649.7,6646.6,6649.7,1.8,+0.03%,0
"01/28/2021 15:00",6630.2,6655.2,6630.2,6647.9,18,+0.27%,0
"01/28/2021 14:00",6637.2,6641.9,6628.8,6629.9,-7.1,-0.11%,0
"01/28/2021 13:00",6654,6657.7,6631.3,6637,-17.3,-0.26%,0
"01/28/2021 12:00",6617.4,6656.9,6617.4,6654.3,36.1,+0.55%,0
"01/28/2021 11:00",6620.6,6629.8,6597.6,6618.2,-2.2,-0.03%,0
"01/28/2021 10:00",6780.6,6780.6,6620.4,6620.4,-160.2,-2.36%,0
"01/27/2021 17:00",6780.6,6780.6,6780.6,6780.6,0,0.00%,0
"01/27/2021 16:00",6779.6,6780.6,6779.6,6780.6,-1.3,-0.02%,0
"01/27/2021 15:00",6773.3,6785.4,6770.3,6781.9,9,+0.13%,0
"01/27/2021 14:00",6771.4,6774,6765.5,6772.9,0.8,+0.01%,0
"01/27/2021 13:00",6775.6,6775.6,6764.3,6772.1,-2.8,-0.04%,0
"01/27/2021 12:00",6775.2,6784.9,6772.3,6774.9,0.3,0.00%,0
"01/27/2021 11:00",6794,6797.6,6772.6,6774.6,-19,-0.28%,0
"01/27/2021 10:00",6824.7,6824.7,6793.6,6793.6,-31.1,-0.46%,0
"01/25/2021 16:00",6818.1,6824.7,6817.7,6824.7,6.2,+0.09%,0
"01/25/2021 15:00",6814,6818.8,6814,6818.5,4.5,+0.07%,0
"01/25/2021 14:00",6824.2,6824.2,6814,6814,-9.5,-0.14%,0
"01/25/2021 13:00",6823.7,6832.6,6823,6823.5,-0.2,0.00%,0
"01/25/2021 12:00",6825.2,6829.2,6821.5,6823.7,-2.2,-0.03%,0
"01/25/2021 11:00",6814.2,6825.9,6807.5,6825.9,11.5,+0.17%,0
"01/25/2021 10:00",6800.4,6827.4,6800.4,6814.4,14,+0.21%,0
"01/22/2021 17:00",6800.4,6800.4,6800.4,6800.4,0,0.00%,0
"01/22/2021 16:00",6794.2,6800.4,6794.2,6800.4,6,+0.09%,0
"01/22/2021 15:00",6802.3,6804.7,6794.1,6794.4,-7,-0.10%,0
"01/22/2021 14:00",6799.1,6802.9,6795.5,6801.4,2.8,+0.04%,0
"01/22/2021 13:00",6816.4,6819,6798.3,6798.6,-20,-0.29%,0
"01/22/2021 12:00",6812,6820.3,6806.7,6818.6,7,+0.10%,0
"01/22/2021 11:00",6810,6820.9,6810,6811.6,0.8,+0.01%,0
"01/22/2021 10:00",6823.7,6823.9,6809,6810.8,-12.9,-0.19%,0
"01/21/2021 16:00",6818.6,6823.7,6818.6,6823.7,2.5,+0.04%,0
"01/21/2021 15:00",6820.4,6824.1,6815.9,6821.2,1.4,+0.02%,0
"01/21/2021 14:00",6818.9,6824.2,6816.9,6819.8,2,+0.03%,0
"01/21/2021 13:00",6812.3,6820,6812.3,6817.8,5.9,+0.09%,0
"01/21/2021 12:00",6813.1,6815.5,6805.9,6811.9,-1.2,-0.02%,0
"01/21/2021 11:00",6819.4,6823.6,6807.2,6813.1,-7.1,-0.10%,0
"01/21/2021 10:00",6770.4,6829.3,6770.4,6820.2,49.8,+0.74%,0
"01/20/2021 16:00",6775.5,6775.6,6770.4,6770.4,-4.3,-0.06%,0
"01/20/2021 15:00",6784.3,6784.3,6769.6,6774.7,-9.4,-0.14%,0
"01/20/2021 14:00",6786.3,6787,6775.3,6784.1,-3,-0.04%,0
"01/20/2021 13:00",6779.4,6787.1,6778.4,6787.1,7.8,+0.12%,0
"01/20/2021 12:00",6776,6781,6764.7,6779.3,3.1,+0.05%,0
"01/20/2021 11:00",6783.7,6784.5,6776.2,6776.2,-7.5,-0.11%,0
"01/20/2021 10:00",6742.6,6788.1,6742.6,6783.7,41.1,+0.61%,0
"01/19/2021 17:00",6742.6,6742.6,6742.6,6742.6,0,0.00%,0
"01/19/2021 16:00",6741.5,6742.6,6741.5,6742.6,0.4,+0.01%,0
"01/19/2021 15:00",6741.7,6744.2,6734.9,6742.2,1,+0.01%,0
"01/19/2021 14:00",6742.9,6743.7,6737.3,6741.2,-2.2,-0.03%,0
"01/19/2021 13:00",6747.3,6747.6,6734.8,6743.4,-4.2,-0.06%,0
"01/19/2021 12:00",6739.5,6748.9,6739.5,6747.6,7.2,+0.11%,0
"01/19/2021 11:00",6728.2,6744,6725.6,6740.4,11.6,+0.17%,0
"01/19/2021 10:00",6663,6728.8,6663,6728.8,65.8,+0.99%,0
"01/18/2021 17:00",6663,6663,6663,6663,0,0.00%,0
"01/18/2021 16:00",6664,6664.1,6663,6663,-0.8,-0.01%,0
"01/18/2021 15:00",6660.3,6666.7,6656.6,6663.8,4.6,+0.07%,0
"01/18/2021 14:00",6655.2,6666.7,6651.6,6659.2,3.6,+0.05%,0
"01/18/2021 13:00",6662.7,6666.5,6654.6,6655.6,-7.4,-0.11%,0
"01/18/2021 12:00",6683.4,6686.8,6659.5,6663,-20.2,-0.30%,0
"01/18/2021 11:00",6667,6684.2,6661.2,6683.2,15.1,+0.23%,0
"01/18/2021 10:00",6715.4,6715.4,6668.1,6668.1,-47.3,-0.70%,0
"01/15/2021 17:00",6715.4,6715.4,6715.4,6715.4,0,0.00%,0
"01/15/2021 16:00",6723.7,6723.7,6715.4,6715.4,-9.9,-0.15%,0
"01/15/2021 15:00",6725.5,6733.3,6721.1,6725.3,-0.5,-0.01%,0
"01/15/2021 14:00",6738,6740.6,6724.7,6725.8,-12.2,-0.18%,0
"01/15/2021 13:00",6734.2,6740.2,6728.3,6738,2,+0.03%,0
"01/15/2021 12:00",6738.1,6752.4,6731.9,6736,-0.9,-0.01%,0
"01/15/2021 11:00",6734.4,6742.2,6719.3,6736.9,3.4,+0.05%,0
"01/15/2021 10:00",6715.3,6744,6715.3,6733.5,18.2,+0.27%,0
"01/14/2021 17:00",6715.3,6715.3,6715.3,6715.3,0,0.00%,0
"01/14/2021 16:00",6716.9,6716.9,6715.3,6715.3,-1.9,-0.03%,0
"01/14/2021 15:00",6719.2,6724.8,6712.8,6717.2,-1.1,-0.02%,0
"01/14/2021 14:00",6711.4,6722.4,6708.8,6718.3,7.5,+0.11%,0
"01/14/2021 13:00",6719.4,6724.5,6710.4,6710.8,-9.1,-0.14%,0
"01/14/2021 12:00",6707.9,6721.4,6704.3,6719.9,11.7,+0.17%,0
"01/14/2021 11:00",6670.9,6709.4,6670.6,6708.2,37.1,+0.56%,0
"01/14/2021 10:00",6686.6,6692.7,6669.3,6671.1,-15.5,-0.23%,0
"01/13/2021 16:00",6691.1,6691.1,6686.6,6686.6,-2.4,-0.04%,0
"01/13/2021 15:00",6688,6690.6,6685.1,6689,0.8,+0.01%,0
"01/13/2021 14:00",6678.8,6688.9,6678.7,6688.2,9.2,+0.14%,0
"01/13/2021 13:00",6667.6,6684.1,6663.9,6679,11.1,+0.17%,0
"01/13/2021 12:00",6661.2,6669.4,6659.2,6667.9,6.2,+0.09%,0
"01/13/2021 11:00",6664.1,6676,6657.1,6661.7,-2.9,-0.04%,0
"01/13/2021 10:00",6679.1,6691.6,6660.6,6664.6,-14.5,-0.22%,0
"01/12/2021 17:00",6679.1,6679.1,6679.1,6679.1,0,0.00%,0
"01/12/2021 16:00",6691,6691.2,6679.1,6679.1,-14.4,-0.22%,0
"01/12/2021 15:00",6702.9,6702.9,6684.7,6693.5,-9.2,-0.14%,0
"01/12/2021 14:00",6697.3,6703,6695.9,6702.7,5.7,+0.09%,0
"01/12/2021 13:00",6712.2,6713.6,6693.3,6697,-14.4,-0.21%,0
"01/12/2021 12:00",6726.8,6726.8,6702.9,6711.4,-17.6,-0.26%,0
"01/12/2021 11:00",6708.3,6733.5,6702.3,6729,21,+0.31%,0
"01/12/2021 10:00",6697.2,6722.5,6693,6708,10.8,+0.16%,0
"01/11/2021 17:00",6697.2,6697.2,6697.2,6697.2,0,0.00%,0
"01/11/2021 16:00",6702.4,6702.4,6697.2,6697.2,-5.1,-0.08%,0
"01/11/2021 15:00",6699.9,6704,6695,6702.3,3.5,+0.05%,0
"01/11/2021 14:00",6709.4,6714.8,6689.4,6698.8,-9.2,-0.14%,0
"01/11/2021 13:00",6718.6,6720.2,6706.2,6708,-10.7,-0.16%,0
"01/11/2021 12:00",6730.7,6732.8,6713.1,6718.7,-14,-0.21%,0
"01/11/2021 11:00",6746.3,6750,6722.4,6732.7,-12.1,-0.18%,0
"01/11/2021 10:00",6757.9,6761,6737.3,6744.8,-13.1,-0.19%,0
"01/08/2021 17:00",6757.9,6757.9,6757.9,6757.9,0,0.00%,0
"01/08/2021 16:00",6746.1,6757.9,6746.1,6757.9,12.7,+0.19%,0
"01/08/2021 15:00",6743.3,6748.5,6735.3,6745.2,1.3,+0.02%,0
"01/08/2021 14:00",6732.6,6746.2,6730.4,6743.9,11.4,+0.17%,0
"01/08/2021 13:00",6734.4,6740.2,6727.8,6732.5,-1.2,-0.02%,0
"01/08/2021 12:00",6744.3,6748.1,6727.5,6733.7,-10.4,-0.15%,0
"01/08/2021 11:00",6720.7,6747.6,6714.3,6744.1,24.2,+0.36%,0
"01/08/2021 10:00",6712,6739.7,6712,6719.9,7.9,+0.12%,0
"01/07/2021 17:00",6712,6712,6712,6712,0,0.00%,0
"01/07/2021 16:00",6724.1,6724.1,6712,6712,-13,-0.19%,0
"01/07/2021 15:00",6717.4,6729.6,6717,6725,7.8,+0.12%,0
"01/07/2021 14:00",6728.3,6732.6,6715.7,6717.2,-10.4,-0.15%,0
"01/07/2021 13:00",6726.3,6728.7,6719.8,6727.6,1.3,+0.02%,0
"01/07/2021 12:00",6706.9,6733.4,6699.8,6726.3,19.4,+0.29%,0
"01/07/2021 11:00",6690.1,6709.4,6679.8,6706.9,15.3,+0.23%,0
"01/07/2021 10:00",6607.1,6707.6,6607.1,6691.6,84.5,+1.28%,0
"01/06/2021 17:00",6607.1,6607.1,6607.1,6607.1,0,0.00%,0
"01/06/2021 16:00",6604.4,6607.1,6604.4,6607.1,2.3,+0.03%,0
"01/06/2021 15:00",6594.4,6605.9,6590.8,6604.8,9.4,+0.14%,0
"01/06/2021 14:00",6608.2,6609.8,6588.9,6595.4,-13.4,-0.20%,0
"01/06/2021 13:00",6609.7,6628.2,6605.7,6608.8,-0.7,-0.01%,0
"01/06/2021 12:00",6648.1,6653.1,6592,6609.5,-36.7,-0.55%,0
"01/06/2021 11:00",6651.3,6670.6,6645.6,6646.2,-6.2,-0.09%,0
"01/06/2021 10:00",6681.9,6685.7,6640.6,6652.4,-29.5,-0.44%,0
"01/05/2021 16:00",6669.5,6681.9,6669.4,6681.9,12.3,+0.18%,0
"01/05/2021 15:00",6662.5,6675.4,6657.2,6669.6,5.3,+0.08%,0
"01/05/2021 14:00",6671.8,6672,6656.4,6664.3,-6.9,-0.10%,0
"01/05/2021 13:00",6654.4,6675.2,6654.4,6671.2,17,+0.26%,0
"01/05/2021 12:00",6665.9,6667.7,6646.1,6654.2,-11.7,-0.18%,0
"01/05/2021 11:00",6671.2,6677.7,6658.9,6665.9,-6.2,-0.09%,0
"01/05/2021 10:00",6684.2,6684.5,6635.1,6672.1,-12.1,-0.18%,0
"01/04/2021 17:00",6684.2,6684.2,6684.2,6684.2,0,0.00%,0
"01/04/2021 16:00",6680,6684.2,6680,6684.2,5.1,+0.08%,0
"01/04/2021 15:00",6669.1,6681.3,6666.5,6679.1,8.6,+0.13%,0
"01/04/2021 14:00",6665.6,6683.2,6665.6,6670.5,4.7,+0.07%,0
"01/04/2021 13:00",6656.4,6668.6,6655.2,6665.8,10.2,+0.15%,0
"01/04/2021 12:00",6643.3,6663,6643.3,6655.6,12.9,+0.19%,0
"01/04/2021 11:00",6634.4,6651.4,6621.8,6642.7,7.7,+0.12%,0
"01/04/2021 10:00",6587.1,6646.8,6587.1,6635,47.9,+0.73%,0
"Downloaded from Barchart.com as of 03-15-2021 01:25am CDT"
